country,year,sex,age,suicides_no,population,suicides_per_100k
Albania,1992,male,35-54 years,12,343800.0,3.4904013961605584
Albania,1992,male,5-14 years,0,362900.0,0.0
Albania,1992,male,55-74 years,5,159500.0,3.134796238244514
Albania,1992,male,75+ years,0,23900.0,0.0
Albania,1993,female,15-24 years,10,285300.0,3.505082369435682
Albania,1993,female,25-34 years,7,261800.0,2.6737967914438503
Albania,1993,female,35-54 years,7,331200.0,2.1135265700483092
Albania,1993,female,5-14 years,1,340300.0,0.2938583602703497
Albania,1993,female,55-74 years,2,169500.0,1.1799410029498525
Albania,1993,female,75+ years,0,39300.0,0.0
Albania,1993,male,15-24 years,18,243300.0,7.398273736128237
Albania,1993,male,25-34 years,9,230100.0,3.911342894393742
Albania,1993,male,35-54 years,10,350300.0,2.8546959748786755
Albania,1993,male,5-14 years,1,367000.0,0.2724795640326976
Albania,1993,male,55-74 years,7,165000.0,4.242424242424242
Albania,1993,male,75+ years,1,24200.0,4.132231404958678
Albania,1994,female,15-24 years,6,282600.0,2.1231422505307855
Albania,1994,female,25-34 years,4,261100.0,1.5319800842589044
Albania,1994,female,35-54 years,2,342500.0,0.5839416058394161
Albania,1994,female,5-14 years,0,344400.0,0.0
Albania,1994,female,55-74 years,1,174600.0,0.572737686139748
Albania,1994,female,75+ years,2,39900.0,5.012531328320803
Albania,1994,male,15-24 years,6,242200.0,2.477291494632535
Albania,1994,male,25-34 years,6,231400.0,2.592912705272256
Albania,1994,male,35-54 years,9,362800.0,2.4807056229327453
Albania,1994,male,5-14 years,1,371800.0,0.2689618074233459
Albania,1994,male,55-74 years,11,171400.0,6.417736289381563
Albania,1994,male,75+ years,2,24600.0,8.130081300813009
Albania,1995,female,15-24 years,13,283500.0,4.585537918871252
Albania,1995,female,25-34 years,7,264000.0,2.6515151515151514
Albania,1995,female,35-54 years,8,356400.0,2.244668911335578
Albania,1995,female,5-14 years,2,348700.0,0.5735589331803843
Albania,1995,female,55-74 years,2,180400.0,1.1086474501108647
Albania,1995,female,75+ years,2,40800.0,4.901960784313725
Albania,1995,male,15-24 years,11,241200.0,4.560530679933665
Albania,1995,male,25-34 years,13,232900.0,5.5817947617003005
Albania,1995,male,35-54 years,14,375900.0,3.7243947858473
Albania,1995,male,5-14 years,6,376500.0,1.593625498007968
Albania,1995,male,55-74 years,9,178000.0,5.056179775280899
Albania,1995,male,75+ years,1,25100.0,3.9840637450199203
Albania,1996,female,15-24 years,16,287700.0,5.561348627042057
Albania,1996,female,25-34 years,10,267900.0,3.7327360955580438
Albania,1996,female,35-54 years,9,362000.0,2.4861878453038675
Albania,1996,female,5-14 years,1,354100.0,0.2824060999717594
Albania,1996,female,55-74 years,1,183100.0,0.5461496450027308
Albania,1996,female,75+ years,2,41200.0,4.8543689320388355
Albania,1996,male,15-24 years,17,243600.0,6.9786535303776684
Albania,1996,male,25-34 years,14,235300.0,5.949851253718657
Albania,1996,male,35-54 years,12,379600.0,3.1612223393045307
Albania,1996,male,5-14 years,2,380400.0,0.5257623554153523
Albania,1996,male,55-74 years,3,179900.0,1.6675931072818233
Albania,1996,male,75+ years,2,25400.0,7.874015748031495
Albania,1997,female,15-24 years,21,294000.0,7.142857142857143
Albania,1997,female,25-34 years,16,273900.0,5.841548010222708
Albania,1997,female,35-54 years,7,370100.0,1.8913807079167793
Albania,1997,female,5-14 years,6,361800.0,1.658374792703151
Albania,1997,female,55-74 years,0,187000.0,0.0
Albania,1997,female,75+ years,2,42100.0,4.750593824228028
Albania,1997,male,15-24 years,33,244400.0,13.502454991816695
Albania,1997,male,25-34 years,36,236000.0,15.254237288135592
Albania,1997,male,35-54 years,30,380800.0,7.878151260504202
Albania,1997,male,5-14 years,4,381500.0,1.0484927916120577
Albania,1997,male,55-74 years,12,180300.0,6.655574043261231
Albania,1997,male,75+ years,3,25400.0,11.811023622047244
Albania,1998,female,15-24 years,32,295600.0,10.825439783491204
Albania,1998,female,25-34 years,10,275300.0,3.6324010170722847
Albania,1998,female,35-54 years,9,372100.0,2.418704649287826
Albania,1998,female,5-14 years,1,363800.0,0.2748763056624519
Albania,1998,female,55-74 years,6,188200.0,3.188097768331562
Albania,1998,female,75+ years,0,42300.0,0.0
Albania,1998,male,15-24 years,27,248800.0,10.85209003215434
Albania,1998,male,25-34 years,26,240400.0,10.8153078202995
Albania,1998,male,35-54 years,29,388200.0,7.470376094796497
Albania,1998,male,5-14 years,2,388400.0,0.5149330587023686
Albania,1998,male,55-74 years,9,183800.0,4.896626768226333
Albania,1998,male,75+ years,3,25800.0,11.627906976744187
Albania,1999,female,15-24 years,19,296800.0,6.401617250673854
Albania,1999,female,25-34 years,13,276500.0,4.701627486437613
Albania,1999,female,35-54 years,5,373600.0,1.3383297644539613
Albania,1999,female,5-14 years,1,365200.0,0.2738225629791895
Albania,1999,female,55-74 years,6,188800.0,3.1779661016949152
Albania,1999,female,75+ years,4,42400.0,9.433962264150942
Albania,1999,male,15-24 years,24,250600.0,9.577015163607342
Albania,1999,male,25-34 years,19,242300.0,7.841518778373916
Albania,1999,male,35-54 years,31,391100.0,7.926361544362056
Albania,1999,male,5-14 years,0,391300.0,0.0
Albania,1999,male,55-74 years,14,185200.0,7.559395248380129
Albania,1999,male,75+ years,3,25900.0,11.583011583011583
Albania,2000,female,15-24 years,6,263900.0,2.2735884804850324
Albania,2000,female,25-34 years,3,245800.0,1.2205044751830756
Albania,2000,female,35-54 years,5,332200.0,1.5051173991571343
Albania,2000,female,5-14 years,0,324700.0,0.0
Albania,2000,female,55-74 years,0,168000.0,0.0
Albania,2000,female,75+ years,2,37800.0,5.291005291005291
Albania,2000,male,15-24 years,5,240000.0,2.0833333333333335
Albania,2000,male,25-34 years,17,232000.0,7.3275862068965525
